1053779;Tablety;799;Samsung Galaxy Tab A 9.7 Wi-Fi SM-T550 (biały);http://f00.esfr.pl/foto/8/9443346332/977282934d6408e08ce155dd7c302a68/samsung-galaxy-tab-a-9-7-sm-t550-bialy,9443346332_7.jpg;1018;System operacyjny:Android 5.0 Lollipop:0 | Wyświetlacz:9,7 cala, 1024 x 768 pikseli:1 | Procesor:Qualcomm Snapdragon 410, 1,2 GHz:2 | Pojemność:16 GB:3 | Pamięć  RAM:1,5 GB:4 | Modem:nie:5 | 
1053783;Akcesoria do dysków twardych;14.99;Vakoss CT-3203BK;http://f00.esfr.pl/foto/4/9473792052/9cee815c183958979ccaee43b7d699bf/vakoss-ct-3203bk,9473792052_7.jpg;56392;Format dysku:2,5 cala:0 | Wykonanie:EVA:1 | Kolor:czarny:2 | 
1053790;Tablety;1129;Samsung Galaxy Tab A 9.7 LTE SM-T555 (czarny);http://f01.esfr.pl/foto/7/9443413897/5759445cb1ca52a2bc6dd755db9edb29/samsung-galaxy-tab-a-9-7-sm-t555-lte-czarny,9443413897_7.jpg;5011;System operacyjny:Android 5.0 Lollipop:0 | Wyświetlacz:9,7 cala, 1024 x 768 pikseli:1 | Procesor:Qualcomm Snapdragon 410, 1,2 GHz:2 | Pojemność:16 GB:3 | Pamięć  RAM:2 GB:4 | Modem:LTE:5 | 
1053792;Tablety;699.00;Prestigio MultiPad Color 8.0 3G PMT5887 (czarny);http://f01.esfr.pl/foto/7/9464221462/db02febffd7e7173ed164cb6c35b7371/prestigio-multipad-color-8-0-3g-pmt5887,9464221462_2.jpg;45070;
1053795;Tablety;499.00;Prestigio MultiPad Color 8.0 3G PMT5887 (fioletowy);http://f01.esfr.pl/foto/6/9464302727/c5c0bdec17ff34d1159e2ee31f1b1b8c/prestigio-multipad-color-8-0-3g-pmt5887-fioletowy,9464302727_2.jpg;45069;
1053799;Zestawy mysz i klawiatura;54.89;Tracer Battle Heroes Mirage nano USB;http://f00.esfr.pl/foto/9/9473962802/d28eba15ecc83fc49c3f22bb51a56921/tracer-battle-heroes-mirage-nano-usb,9473962802_7.jpg;7482;Typ myszy:optyczna:0 | Rozdzielczość:1600 dpi:1 | Komunikacja z komputerem - mysz:bezprzewodowa:2 | Układ klawiszy:standardowy:3 | Komunikacja z komputerem - klawiatura:radiowa:4 | 
1053800;Myszy komputerowe;29.99;Tracer Battle Heroes Target;http://f01.esfr.pl/foto/3/9449336217/1c6ebc25ff510613a237468b2ecca12d/tracer-battle-heroes-target,9449336217_7.jpg;1577;Typ myszy:optyczna:0 | Komunikacja z komputerem:przewodowa:1 | Rozdzielczość:1600 dpi:2 | Typ podłączenia:USB:3 | 
1053802;Myszy komputerowe;39.99;Tracer Battles Heroes Killer;http://f00.esfr.pl/foto/5/9449443392/644e35c706898bff6c38689f4d5f0157/tracer-battles-heroes-killer,9449443392_7.jpg;2277;Typ myszy:optyczna:0 | Komunikacja z komputerem:przewodowa:1 | Rozdzielczość:2400 dpi:2 | Typ podłączenia:USB:3 | 
1053803;Myszy komputerowe;15.59;Tracer Cobra;http://f00.esfr.pl/foto/7/9449487957/2d7c2b06fbf509738d06df5664ad33cd/tracer-cobra-,9449487957_7.jpg;12210;Typ myszy:optyczna:0 | Komunikacja z komputerem:przewodowa:1 | Rozdzielczość:2000 dpi:2 | Typ podłączenia:USB:3 | 
1053805;Myszy komputerowe;39.99;Tracer Blaster II Black RF nano;http://f01.esfr.pl/foto/8/9449637502/96fa1d9ffb046ff1a7f5ec49dfde1b42/tracer-blaster-ii-black-rf-nano,9449637502_7.jpg;6128;Typ myszy:optyczna:0 | Komunikacja z komputerem:bezprzewodowa:1 | Rozdzielczość:1600 dpi:2 | Typ podłączenia:USB:3 | 
1053807;Myszy komputerowe;24.99;Tracer Zelih Duo Red RF nano;http://f01.esfr.pl/foto/3/9449708577/e3030b73edceac3e949347a03d211d4e/tracer-zelih-duo-red-rf-nano,9449708577_7.jpg;46725;Typ myszy:optyczna:0 | Komunikacja z komputerem:bezprzewodowa:1 | Rozdzielczość:1600 dpi:2 | Typ podłączenia:USB:3 | 
1053808;Myszy komputerowe;39.99;Tracer Zelih Duo Black RF nano;http://f00.esfr.pl/foto/5/9449739197/a82e3ed47d8f8419a92671c4a6661396/tracer-zelih-duo-black-rf-nano,9449739197_7.jpg;310;Typ myszy:optyczna:0 | Komunikacja z komputerem:bezprzewodowa:1 | Rozdzielczość:1600 dpi:2 | Typ podłączenia:USB:3 | 
