1053887;Patelnie;89.99;Tefal Boost A3580782 30cm;http://f01.esfr.pl/foto/2/9474736332/f7b1ceda92d084cd85451dfc56119b1f/tefal-boost-a3580782-30cm,9474736332_2.jpg;45040;;
1053890;Patelnie;69.99;Tefal Boost A3580282 20cm;http://f01.esfr.pl/foto/3/9474630992/f7b1ceda92d084cd85451dfc56119b1f/tefal-boost-a3580282-20cm,9474630992_2.jpg;41447;;
1053895;Patelnie;49.99;Tefal It's Time A3110252 20cm;http://f01.esfr.pl/foto/8/9474932267/3215dd30e3c7bb8d675a600d69f785a/tefal-it-s-time-a3110252-20cm,9474932267_2.jpg;42530;;
1053896;Patelnie;52.99;Tefal It's Time A3110452 24cm;http://f01.esfr.pl/foto/4/9475434787/3215dd30e3c7bb8d675a600d69f785a/tefal-it-s-time-a3110452-24cm,9475434787_2.jpg;43142;;
1053897;Patelnie;54.99;Tefal It's Time A3110552 26cm;http://f01.esfr.pl/foto/5/9475435682/3215dd30e3c7bb8d675a600d69f785a/tefal-it-s-time-a3110552-26cm,9475435682_2.jpg;46278;;
1053900;Patelnie;49.99;Tefal It's Time A3111052 25cm;http://f00.esfr.pl/foto/8/9475443267/ae95adef46b8b9390f76fea6f1a43262/tefal-it-s-time-a3111052-25cm,9475443267_7.jpg;8464;Średnica:25 cm:0 | Wskaźnik nagrzania patelni:tak:1 | Możliwość mycia w zmywarce:tak:2 | W zestawie:patelnia:3 | Kolor:szary:4 | Powłoka wewnętrzna:nieprzywierająca:5 | Powłoka zewnętrzna:nieprzywierająca Tefal:6 | ;
1053903;Patelnie;99.99;Tefal It's Time A3113252 24cm;http://f01.esfr.pl/foto/6/9475452532/7dd13edc2f28877984b9068f14d8287/tefal-it-s-time-a3113252-24cm,9475452532_7.jpg;11606;Średnica:24 cm:0 | Wskaźnik nagrzania patelni:tak:1 | Możliwość mycia w zmywarce:tak:2 | W zestawie:patelnia 24 cm, szklana pokrywka:3 | Kolor:szary:4 | Powłoka wewnętrzna:nieprzywierająca:5 | Powłoka zewnętrzna:nieprzywierająca Tefal:6 | ;
1053909;Przybory kuchenne;19.99;Tefal 2745312;http://f00.esfr.pl/foto/1/9474528487/3e3b0d73abffd9b00ef3638cbdf77ba4/tefal-2745312,9474528487_7.jpg;48733;;
1053910;Przybory kuchenne;14.99;Tefal 2744712;http://f00.esfr.pl/foto/1/9474416582/2d3ed96a03da15cd0534933a0b8b04ee/tefal-2744712,9474416582_7.jpg;23200;;
1053917;Radioodtwarzacze CD;169.99;Kruger & Matz KM6101;http://f00.esfr.pl/foto/4/9444357187/2b45f6949b9cd6b7cc99d041688852bb/kruger-matz-km6101,9444357187_7.jpg;1547;Odtwarzacz CD:tak:0 | Magnetofon:nie:1 | Radio:analogowe, AM, FM:2 | Bluetooth:nie:3 | Pilot:nie:4 | ;
1053918;Radioodtwarzacze CD;219;Kruger & Matz KM3902;http://f00.esfr.pl/foto/1/9444407507/a55bc811bb336b9be31afab445f219ea/kruger-matz-km3902,9444407507_7.jpg;13807;Odtwarzacz CD:tak:0 | Magnetofon:nie:1 | Radio:analogowe z pamięcią, AM, FM:2 | Bluetooth:nie:3 | Pilot:nie:4 | ;
1053919;Uchwyty do telewizorów;99.99;Reinston EU012;http://f00.esfr.pl/foto/5/9509330257/1v1cwtu5k8oyd/reinston-eu012,9509330257_7.jpg;1627;Typ uchwytu:ruchomy:0 | Rozmiar ekranu:10 - 32 cale:1 | Maksymalne obciążenie:25 kg:2 | Standard VESA:75x75 mm, 100x100 mm, 200x100 mm, 200x200 mm:3 | ;
1053920;Uchwyty do telewizorów;499;Reinston EU013;http://f01.esfr.pl/foto/2/9510612627/4048e8015363228ef086f003672ce521/reinston-eu013,9510612627_7.jpg;15553;Typ uchwytu:ruchomy:0 | Rozmiar ekranu:40 - 70 cali:1 | Maksymalne obciążenie:45 kg:2 | Standard VESA:100x100 mm, 100x200 mm, 200x100 mm, 200x200 mm, 200x300 mm, 200x400 mm, 300x100 mm, 300x200 mm, 300x300 mm, 300x400 mm, 400x200 mm, 400x300 mm, 400x400 mm, 600x200 mm, 600x300 mm, 600x400 mm:3 | ;
